1,2,3,4
AL,Alabama,Montgomery,35004 to 36925
CT,Connecticut,Hartford,06001 to 06928
DE,Delaware,Dover,19701 to 19980
FL,Florida,Tallahassee,32003 to 34997
GA,Georgia,Atlanta,30002 to 39901
IL,Illinois,Springfield,60001 to 62999
IN,Indiana,Indianapolis,46001 to 47997
KY,Kentucky,Frankfort,40003 to 42788
ME,Maine,Augusta,03901 to 04992
MD,Maryland,Annapolis,20588 to 21930
MA,Massachusetts,Boston,01001 to 05544
MI,Michigan,Lansing,48001 to 49971
MS,Mississippi,Jackson,38601 to 39776
NH,New Hampshire,Concord,03031 to 03897
NJ,New Jersey,Trenton,07001 to 08989
NY,New York,Albany,00501 to 14925
NC,North Carolina,Raleigh,27006 to 28909
OH,Ohio,Columbus,43001 to 45999
PA,Pennsylvania,Harrisburg,15001 to 19640
RI,Rhode Island,Providence,02801 to 02940
SC,South Carolina,Columbia,29001 to 29945
TN,Tennessee,Nashville,37010 to 38589
VT,Vermont,Montpelier,05001 to 05907
VA,Virginia,Richmond,20101 to 24658
WV,West Virginia,Charleston,24701 to 26886
WI,Wisconsin,Madison,53001 to 54990
